YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueTypeID,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,53.6,53.6,,,47,60.2,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,OVERALL,OVR,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,39.1,39.1,,,30.9,48,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,OVERALL,OVR,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,50.4,50.4,,,41.3,59.6,Gender,Male,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,GENDER,GENM,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,38.0,38,,,28.4,48.7,Gender,Male,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,GENDER,GENM,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,59.9,59.9,,,51,68.2,Gender,Female,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,GENDER,GENF,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,44.3,44.3,,,33.8,55.3,Gender,Female,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,GENDER,GENF,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,58.2,58.2,,,51.1,65.1,Race/Ethnicity,"White, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,WHT,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,50.8,50.8,,,38.7,62.8,Race/Ethnicity,"White, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,WHT,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,BLK,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,BLK,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,36.7,36.7,,,26.6,48.2,Race/Ethnicity,Hispanic,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,HIS,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,28.6,28.6,,,20.7,38.1,Race/Ethnicity,Hispanic,,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,HIS,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,OTH,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Other, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,OTH,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,CrdPrev,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,MRC,,,,
2013,2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,,%,AgeAdjPrev,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,"(37.63864012300047, -120.99999953799971)",ART,ART1_4,,06,RACE,MRC,,,,
